Analyte,Unit
Ag,ppm
Al,ppm
Al2O,pct
Al2O3,pct
AlO,pct
As,ppm
As2O3,ppm
AsO,pct
Au,ppm
B,ppm
Ba,ppm
BaO,pct
Be,ppm
Bi,ppm
Bi2O3,ppm
BiO,pct
Br,ppm
C,ppm
Ca,ppm
CaO,pct
CaCO3,pct
Cd,ppm
Ce,ppm
CeO,pct
CeO2,ppm
Cl,ppm
Co,ppm
CO2,pct
Cr,ppm
Cr2O3,pct
CrO,pct
Cs,ppm
Cs2O,pct
CsO,pct
Cu,ppm
CuO,pct
Dy,ppm
Dy2O3,ppm
Er,ppm
Er2O3,ppm
Eu,ppm
Eu2O3,ppm
F,ppm
Fe,pct
Fe2O3,pct
FeO,pct
Ga,ppm
Ga2O3,pct
Gd,ppm
Gd2O3,ppm
Ge,ppm
H2O,pct
H2Oneg,pct
H2Opos,pct
Hf,ppm
HfO,pct
Hg,ppm
HM,pct
Ho,ppm
Ho2O3,ppm
I,ppm
In,ppm
Ir,ppb
K,ppm
K2O,pct
KO,pct
La,ppm
La2O3,ppm
LaO,pct
Li,ppm
Li2O,pct
LOI,pct
Lu,ppm
Lu2O3,ppm
Mg,ppm
MgCO3,pct
MgO,pct
MgO2,pct
Mn,ppm
MnO,pct
MnO2,pct
Mo,ppm
Na,ppm
Na2O,pct
NaO,pct
Nb,ppm
Nb2O5,pct
NbO,pct
Nd,ppm
Nd2O3,ppm
Ni,ppm
Os,ppb
P,ppm
P2O5,pct
Pb,ppm
Pb204,ppm
Pb206,ppm
Pb207,ppm
Pb208,ppm
PbO,ppm
Pd,ppb
PO,pct
Pr,ppm
Pr6O11,ppm
Pt,ppb
Rb,ppm
Rb2O,pct
RbO,pct
Re,ppm
Rh,ppb
Ru,ppb
S,pct
Sb,ppm
Sb2O3,ppm
SbO,pct
Sc,ppm
Se,ppm
Si,ppm
SiO,pct
SiO2,pct
Sm,ppm
Sm2O3,ppm
Sn,ppm
SnO,pct
SnO2,pct
SO3,pct
Sr,ppm
SrO,pct
Ta,ppm
Ta2O5,pct
TaO,pct
Tb,ppm
Tb4O7,ppm
Te,ppm
Th,ppm
ThO,pct
ThO2,ppm
Ti,ppm
TiO,pct
TiO2,pct
Tl,ppm
Tm,ppm
Tm2O3,ppm
U,ppm
U3O8,ppm
V,ppm
V2O5,ppm
W,ppm
WO,pct
WO3,pct
Y,ppm
Y2O3,ppm
Yb,ppm
Yb2O3,ppm
Zn,ppm
ZnO,ppm
Zr,ppm
ZrO2,pct
